ts,symbol,open,high,low,close,volume
2025-01-01T01:01:00Z,EURUSD,1.0994,1.0998,1.0989,1.0993,139
2025-01-01T01:02:00Z,EURUSD,1.0995,1.0998,1.0990,1.0993,142
2025-01-01T01:03:00Z,EURUSD,1.0996,1.0999,1.0990,1.0994,124
2025-01-01T01:04:00Z,EURUSD,1.0997,1.0999,1.0991,1.0995,127
2025-01-01T01:05:00Z,EURUSD,1.0997,1.1000,1.0991,1.0995,130
2025-01-01T01:06:00Z,EURUSD,1.0998,1.1001,1.0992,1.0996,132
2025-01-01T01:07:00Z,EURUSD,1.0999,1.1001,1.0993,1.0997,135
2025-01-01T01:08:00Z,EURUSD,1.1000,1.1002,1.0994,1.0998,136
2025-01-01T01:09:00Z,EURUSD,1.1000,1.1002,1.0995,1.0999,138
2025-01-01T01:10:00Z,EURUSD,1.1001,1.1003,1.0995,1.0999,119
2025-01-01T01:11:00Z,EURUSD,1.1001,1.1003,1.0996,1.1000,120
2025-01-01T01:12:00Z,EURUSD,1.1001,1.1004,1.0997,1.1000,122
2025-01-01T01:13:00Z,EURUSD,1.1002,1.1004,1.0997,1.1001,123
2025-01-01T01:14:00Z,EURUSD,1.1002,1.1004,1.0998,1.1001,124
2025-01-01T01:15:00Z,EURUSD,1.1002,1.1005,1.0998,1.1002,125
2025-01-01T01:16:00Z,EURUSD,1.1002,1.1005,1.0999,1.1002,126
2025-01-01T01:17:00Z,EURUSD,1.1002,1.1005,1.0999,1.1002,107
2025-01-01T01:18:00Z,EURUSD,1.1001,1.1006,1.0999,1.1002,108
2025-01-01T01:19:00Z,EURUSD,1.1001,1.1006,1.0998,1.1002,109
2025-01-01T01:20:00Z,EURUSD,1.1001,1.1006,1.0998,1.1002,110
2025-01-01T01:21:00Z,EURUSD,1.1001,1.1006,1.0998,1.1002,112
2025-01-01T01:22:00Z,EURUSD,1.1001,1.1006,1.0998,1.1002,113
2025-01-01T01:23:00Z,EURUSD,1.1001,1.1006,1.0998,1.1003,115
2025-01-01T01:24:00Z,EURUSD,1.1001,1.1006,1.0998,1.1003,96
2025-01-01T01:25:00Z,EURUSD,1.1001,1.1006,1.0999,1.1003,99
2025-01-01T01:26:00Z,EURUSD,1.1001,1.1006,1.0999,1.1003,101
2025-01-01T01:27:00Z,EURUSD,1.1001,1.1006,1.0999,1.1003,104
2025-01-01T01:28:00Z,EURUSD,1.1001,1.1006,1.0999,1.1003,107
2025-01-01T01:29:00Z,EURUSD,1.1002,1.1006,1.1000,1.1003,110
2025-01-01T01:30:00Z,EURUSD,1.1002,1.1006,1.1000,1.1004,113
2025-01-01T01:31:00Z,EURUSD,1.1003,1.1006,1.1001,1.1004,96
2025-01-01T01:32:00Z,EURUSD,1.1004,1.1006,1.1001,1.1004,99
2025-01-01T01:33:00Z,EURUSD,1.1004,1.1007,1.1002,1.1005,103
2025-01-01T01:34:00Z,EURUSD,1.1005,1.1007,1.1003,1.1005,108
2025-01-01T01:35:00Z,EURUSD,1.1005,1.1007,1.1003,1.1005,112
2025-01-01T01:36:00Z,EURUSD,1.1006,1.1008,1.1003,1.1005,116
2025-01-01T01:37:00Z,EURUSD,1.1006,1.1009,1.1003,1.1006,121
2025-01-01T01:38:00Z,EURUSD,1.1007,1.1009,1.1003,1.1006,105
2025-01-01T01:39:00Z,EURUSD,1.1007,1.1010,1.1003,1.1006,110
2025-01-01T01:40:00Z,EURUSD,1.1007,1.1010,1.1002,1.1006,115
2025-01-01T01:41:00Z,EURUSD,1.1007,1.1010,1.1002,1.1005,119
2025-01-01T01:42:00Z,EURUSD,1.1007,1.1010,1.1002,1.1005,124
2025-01-01T01:43:00Z,EURUSD,1.1007,1.1010,1.1001,1.1005,129
2025-01-01T01:44:00Z,EURUSD,1.1006,1.1010,1.1001,1.1004,134
2025-01-01T01:45:00Z,EURUSD,1.1006,1.1010,1.1000,1.1004,117
2025-01-01T01:46:00Z,EURUSD,1.1005,1.1009,1.0999,1.1003,122
2025-01-01T01:47:00Z,EURUSD,1.1004,1.1008,1.0998,1.1002,126
2025-01-01T01:48:00Z,EURUSD,1.1003,1.1007,1.0998,1.1002,131
2025-01-01T01:49:00Z,EURUSD,1.1002,1.1006,1.0997,1.1001,135
2025-01-01T01:50:00Z,EURUSD,1.1001,1.1005,1.0996,1.1000,138
2025-01-01T01:51:00Z,EURUSD,1.1000,1.1004,1.0996,1.1000,142
2025-01-01T01:52:00Z,EURUSD,1.0999,1.1003,1.0995,1.0999,124
2025-01-01T01:53:00Z,EURUSD,1.0998,1.1001,1.0994,1.0998,127
2025-01-01T01:54:00Z,EURUSD,1.0997,1.1001,1.0994,1.0998,130
2025-01-01T01:55:00Z,EURUSD,1.0997,1.1000,1.0993,1.0997,133
2025-01-01T01:56:00Z,EURUSD,1.0996,1.0999,1.0992,1.0997,136
2025-01-01T01:57:00Z,EURUSD,1.0995,1.0999,1.0992,1.0997,138
2025-01-01T01:58:00Z,EURUSD,1.0995,1.0999,1.0992,1.0996,140
2025-01-01T01:59:00Z,EURUSD,1.0995,1.0998,1.0991,1.0996,121
2025-01-01T02:00:00Z,EURUSD,1.0995,1.0998,1.0991,1.0996,122
2025-01-01T02:01:00Z,EURUSD,1.0995,1.0999,1.0992,1.0996,124
2025-01-01T02:02:00Z,EURUSD,1.0995,1.0999,1.0992,1.0997,125
2025-01-01T02:03:00Z,EURUSD,1.0995,1.0999,1.0992,1.0997,126
2025-01-01T02:04:00Z,EURUSD,1.0995,1.1000,1.0992,1.0997,128
2025-01-01T02:05:00Z,EURUSD,1.0995,1.1000,1.0993,1.0997,129
2025-01-01T02:06:00Z,EURUSD,1.0996,1.1001,1.0993,1.0997,109
2025-01-01T02:07:00Z,EURUSD,1.0996,1.1001,1.0994,1.0998,110
2025-01-01T02:08:00Z,EURUSD,1.0997,1.1001,1.0994,1.0998,111
2025-01-01T02:09:00Z,EURUSD,1.0997,1.1002,1.0995,1.0998,112
2025-01-01T02:10:00Z,EURUSD,1.0997,1.1002,1.0995,1.0998,114
2025-01-01T02:11:00Z,EURUSD,1.0998,1.1002,1.0996,1.0998,115
2025-01-01T02:12:00Z,EURUSD,1.0998,1.1002,1.0996,1.0998,117
2025-01-01T02:13:00Z,EURUSD,1.0998,1.1002,1.0996,1.0998,98
2025-01-01T02:14:00Z,EURUSD,1.0998,1.1002,1.0995,1.0997,100
2025-01-01T02:15:00Z,EURUSD,1.0998,1.1002,1.0995,1.0997,102
2025-01-01T02:16:00Z,EURUSD,1.0998,1.1001,1.0995,1.0997,104
2025-01-01T02:17:00Z,EURUSD,1.0998,1.1001,1.0994,1.0996,107
2025-01-01T02:18:00Z,EURUSD,1.0997,1.1001,1.0993,1.0996,110
2025-01-01T02:19:00Z,EURUSD,1.0997,1.1000,1.0993,1.0995,113
2025-01-01T02:20:00Z,EURUSD,1.0997,1.0999,1.0992,1.0995,95
2025-01-01T02:21:00Z,EURUSD,1.0997,1.0999,1.0992,1.0995,98
2025-01-01T02:22:00Z,EURUSD,1.0996,1.0998,1.0991,1.0994,102
2025-01-01T02:23:00Z,EURUSD,1.0996,1.0998,1.0991,1.0994,106
2025-01-01T02:24:00Z,EURUSD,1.0996,1.0998,1.0991,1.0994,110
2025-01-01T02:25:00Z,EURUSD,1.0996,1.0998,1.0991,1.0994,115
2025-01-01T02:26:00Z,EURUSD,1.0996,1.0998,1.0991,1.0994,119
2025-01-01T02:27:00Z,EURUSD,1.0996,1.0998,1.0991,1.0995,103
2025-01-01T02:28:00Z,EURUSD,1.0996,1.0998,1.0991,1.0995,107
2025-01-01T02:29:00Z,EURUSD,1.0996,1.0999,1.0992,1.0996,112
2025-01-01T02:30:00Z,EURUSD,1.0997,1.1000,1.0993,1.0996,117
2025-01-01T02:31:00Z,EURUSD,1.0997,1.1000,1.0993,1.0997,122
2025-01-01T02:32:00Z,EURUSD,1.0998,1.1002,1.0994,1.0998,127
2025-01-01T02:33:00Z,EURUSD,1.0999,1.1003,1.0995,1.0999,132
2025-01-01T02:34:00Z,EURUSD,1.1000,1.1004,1.0996,1.1001,115
2025-01-01T02:35:00Z,EURUSD,1.1001,1.1006,1.0997,1.1002,120
2025-01-01T02:36:00Z,EURUSD,1.1001,1.1007,1.0998,1.1003,125
2025-01-01T02:37:00Z,EURUSD,1.1002,1.1008,1.0999,1.1004,129
2025-01-01T02:38:00Z,EURUSD,1.1003,1.1009,1.1000,1.1005,133
2025-01-01T02:39:00Z,EURUSD,1.1004,1.1010,1.1001,1.1006,137
2025-01-01T02:40:00Z,EURUSD,1.1005,1.1011,1.1001,1.1007,141
2025-01-01T02:41:00Z,EURUSD,1.1006,1.1011,1.1002,1.1008,124
2025-01-01T02:42:00Z,EURUSD,1.1007,1.1012,1.1003,1.1008,127
2025-01-01T02:43:00Z,EURUSD,1.1007,1.1012,1.1004,1.1009,130
2025-01-01T02:44:00Z,EURUSD,1.1007,1.1012,1.1004,1.1009,133
2025-01-01T02:45:00Z,EURUSD,1.1008,1.1012,1.1005,1.1009,136
2025-01-01T02:46:00Z,EURUSD,1.1008,1.1011,1.1005,1.1009,139
2025-01-01T02:47:00Z,EURUSD,1.1008,1.1011,1.1005,1.1008,141
2025-01-01T02:48:00Z,EURUSD,1.1007,1.1010,1.1005,1.1008,122
2025-01-01T02:49:00Z,EURUSD,1.1007,1.1009,1.1005,1.1007,124
2025-01-01T02:50:00Z,EURUSD,1.1007,1.1009,1.1004,1.1006,126
2025-01-01T02:51:00Z,EURUSD,1.1006,1.1008,1.1003,1.1006,127
2025-01-01T02:52:00Z,EURUSD,1.1005,1.1008,1.1002,1.1005,129
2025-01-01T02:53:00Z,EURUSD,1.1005,1.1007,1.1002,1.1004,130
2025-01-01T02:54:00Z,EURUSD,1.1004,1.1006,1.1001,1.1003,131
2025-01-01T02:55:00Z,EURUSD,1.1003,1.1006,1.1000,1.1002,111
2025-01-01T02:56:00Z,EURUSD,1.1003,1.1006,1.0999,1.1001,112
2025-01-01T02:57:00Z,EURUSD,1.1002,1.1005,1.0998,1.1000,113
2025-01-01T02:58:00Z,EURUSD,1.1001,1.1005,1.0997,1.0999,115
2025-01-01T02:59:00Z,EURUSD,1.1001,1.1004,1.0997,1.0999,116
2025-01-01T03:00:00Z,EURUSD,1.1000,1.1004,1.0996,1.0998,117
