symbol,name,exchange,currency,marketType,defaultBroker
OMUSDT,OM,BINANCE,USDT,CRYPTO_SPOT,BINANCE
MOCHIUSDT,MOCHI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ORBSUSDT,ORBS,BINANCE,USDT,CRYPTO_SPOT,BINANCE
SUSDT,S,BINANCE,USDT,CRYPTO_SPOT,BINANCE
BLASTUSDT,BLAST,BINANCE,USDT,CRYPTO_SPOT,BINANCE
FLUXUSDT,FLUX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
VLXUSDT,VLX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
TNSRUSDT,TNSR,BINANCE,USDT,CRYPTO_SPOT,BINANCE
XAIUSDT,XAI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
NTRNUSDT,NTRN,BINANCE,USDT,CRYPTO_SPOT,BINANCE
WIFUSDT,WIF,BINANCE,USDT,CRYPTO_SPOT,BINANCE
RNDRUSDT,RNDR (ETH),BINANCE,USDT,CRYPTO_SPOT,BINANCE
HONEYUSDT,HONEY,BINANCE,USDT,CRYPTO_SPOT,BINANCE
NOTUSDT,NOT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
TOSHIUSDT,TOSHI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
DIMOUSDT,DIMO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
